"DTI_CL_UNIDAD_MEDIDA","Unit of measurement","DTI_CL_MES","Month","DTI_CL_GRUPO_OCU_IR","Occupational group","Value","Flag Codes","Flags"
"IX","Index","2018-M01","2018 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",112.57,,
"IX","Index","2018-M01","2018 January","ISCO88_2","Profesionales científicos e intelectuales",107.64,,
"IX","Index","2018-M01","2018 January","ISCO88_3","Técnicos y profesionales de nivel medio",109.18,,
"IX","Index","2018-M01","2018 January","ISCO88_4","Empleados de oficina",108.73,,
"IX","Index","2018-M01","2018 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",111.58,,
"IX","Index","2018-M01","2018 January","ISCO88_5_B","Vendedores, promotores y modelos",115.76,,
"IX","Index","2018-M01","2018 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",108.88,,
"IX","Index","2018-M01","2018 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",109.39,,
"IX","Index","2018-M01","2018 January","ISCO88_9","Trabajadores no calificados",109.47,,
"IX","Index","2018-M02","2018 February","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",112.29,,
"IX","Index","2018-M02","2018 February","ISCO88_2","Profesionales científicos e intelectuales",107.9,,
"IX","Index","2018-M02","2018 February","ISCO88_3","Técnicos y profesionales de nivel medio",108.48,,
"IX","Index","2018-M02","2018 February","ISCO88_4","Empleados de oficina",109.21,,
"IX","Index","2018-M02","2018 February","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",102.55,,
"IX","Index","2018-M02","2018 February","ISCO88_5_B","Vendedores, promotores y modelos",113.66,,
"IX","Index","2018-M02","2018 February","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",108.38,,
"IX","Index","2018-M02","2018 February","ISCO88_8","Operadores de instalaciones y máquinas y montadores",108.16,,
"IX","Index","2018-M02","2018 February","ISCO88_9","Trabajadores no calificados",109.86,,
"IX","Index","2018-M03","2018 March","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",112.52,,
"IX","Index","2018-M03","2018 March","ISCO88_2","Profesionales científicos e intelectuales",108.14,,
"IX","Index","2018-M03","2018 March","ISCO88_3","Técnicos y profesionales de nivel medio",108.69,,
"IX","Index","2018-M03","2018 March","ISCO88_4","Empleados de oficina",110.02,,
"IX","Index","2018-M03","2018 March","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",109.53,,
"IX","Index","2018-M03","2018 March","ISCO88_5_B","Vendedores, promotores y modelos",115.56,,
"IX","Index","2018-M03","2018 March","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",109.44,,
"IX","Index","2018-M03","2018 March","ISCO88_8","Operadores de instalaciones y máquinas y montadores",107.11,,
"IX","Index","2018-M03","2018 March","ISCO88_9","Trabajadores no calificados",111.17,,
"IX","Index","2018-M04","2018 April","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",112.92,,
"IX","Index","2018-M04","2018 April","ISCO88_2","Profesionales científicos e intelectuales",108.24,,
"IX","Index","2018-M04","2018 April","ISCO88_3","Técnicos y profesionales de nivel medio",109.8,,
"IX","Index","2018-M04","2018 April","ISCO88_4","Empleados de oficina",110.29,,
"IX","Index","2018-M04","2018 April","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",103.53,,
"IX","Index","2018-M04","2018 April","ISCO88_5_B","Vendedores, promotores y modelos",115.34,,
"IX","Index","2018-M04","2018 April","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",110.04,,
"IX","Index","2018-M04","2018 April","ISCO88_8","Operadores de instalaciones y máquinas y montadores",108.74,,
"IX","Index","2018-M04","2018 April","ISCO88_9","Trabajadores no calificados",111.39,,
"IX","Index","2018-M05","2018 May","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",112.51,,
"IX","Index","2018-M05","2018 May","ISCO88_2","Profesionales científicos e intelectuales",108.2,,
"IX","Index","2018-M05","2018 May","ISCO88_3","Técnicos y profesionales de nivel medio",109,,
"IX","Index","2018-M05","2018 May","ISCO88_4","Empleados de oficina",110.57,,
"IX","Index","2018-M05","2018 May","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",102.9,,
"IX","Index","2018-M05","2018 May","ISCO88_5_B","Vendedores, promotores y modelos",115.33,,
"IX","Index","2018-M05","2018 May","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",110.29,,
"IX","Index","2018-M05","2018 May","ISCO88_8","Operadores de instalaciones y máquinas y montadores",108.83,,
"IX","Index","2018-M05","2018 May","ISCO88_9","Trabajadores no calificados",111.44,,
"IX","Index","2018-M06","2018 June","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",113.56,,
"IX","Index","2018-M06","2018 June","ISCO88_2","Profesionales científicos e intelectuales",108.52,,
"IX","Index","2018-M06","2018 June","ISCO88_3","Técnicos y profesionales de nivel medio",108.98,,
"IX","Index","2018-M06","2018 June","ISCO88_4","Empleados de oficina",110.47,,
"IX","Index","2018-M06","2018 June","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",104,,
"IX","Index","2018-M06","2018 June","ISCO88_5_B","Vendedores, promotores y modelos",114.11,,
"IX","Index","2018-M06","2018 June","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",110.59,,
"IX","Index","2018-M06","2018 June","ISCO88_8","Operadores de instalaciones y máquinas y montadores",107.46,,
"IX","Index","2018-M06","2018 June","ISCO88_9","Trabajadores no calificados",111.88,,
"IX","Index","2018-M07","2018 July","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",113.84,,
"IX","Index","2018-M07","2018 July","ISCO88_2","Profesionales científicos e intelectuales",109.09,,
"IX","Index","2018-M07","2018 July","ISCO88_3","Técnicos y profesionales de nivel medio",109.23,,
"IX","Index","2018-M07","2018 July","ISCO88_4","Empleados de oficina",110.77,,
"IX","Index","2018-M07","2018 July","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",104.09,,
"IX","Index","2018-M07","2018 July","ISCO88_5_B","Vendedores, promotores y modelos",113.41,,
"IX","Index","2018-M07","2018 July","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",112.74,,
"IX","Index","2018-M07","2018 July","ISCO88_8","Operadores de instalaciones y máquinas y montadores",108.21,,
"IX","Index","2018-M07","2018 July","ISCO88_9","Trabajadores no calificados",112.65,,
"IX","Index","2018-M08","2018 August","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",114.87,,
"IX","Index","2018-M08","2018 August","ISCO88_2","Profesionales científicos e intelectuales",108.36,,
"IX","Index","2018-M08","2018 August","ISCO88_3","Técnicos y profesionales de nivel medio",109.27,,
"IX","Index","2018-M08","2018 August","ISCO88_4","Empleados de oficina",111.04,,
"IX","Index","2018-M08","2018 August","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",105.16,,
"IX","Index","2018-M08","2018 August","ISCO88_5_B","Vendedores, promotores y modelos",114.88,,
"IX","Index","2018-M08","2018 August","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",112.61,,
"IX","Index","2018-M08","2018 August","ISCO88_8","Operadores de instalaciones y máquinas y montadores",108.99,,
"IX","Index","2018-M08","2018 August","ISCO88_9","Trabajadores no calificados",112.58,,
"IX","Index","2018-M09","2018 September","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",115.08,,
"IX","Index","2018-M09","2018 September","ISCO88_2","Profesionales científicos e intelectuales",109.18,,
"IX","Index","2018-M09","2018 September","ISCO88_3","Técnicos y profesionales de nivel medio",110.44,,
"IX","Index","2018-M09","2018 September","ISCO88_4","Empleados de oficina",112.03,,
"IX","Index","2018-M09","2018 September","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",106.6,,
"IX","Index","2018-M09","2018 September","ISCO88_5_B","Vendedores, promotores y modelos",116.43,,
"IX","Index","2018-M09","2018 September","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",114.37,,
"IX","Index","2018-M09","2018 September","ISCO88_8","Operadores de instalaciones y máquinas y montadores",110.57,,
"IX","Index","2018-M09","2018 September","ISCO88_9","Trabajadores no calificados",114.85,,
"IX","Index","2018-M10","2018 October","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",115.84,,
"IX","Index","2018-M10","2018 October","ISCO88_2","Profesionales científicos e intelectuales",109.2,,
"IX","Index","2018-M10","2018 October","ISCO88_3","Técnicos y profesionales de nivel medio",109.93,,
"IX","Index","2018-M10","2018 October","ISCO88_4","Empleados de oficina",111.62,,
"IX","Index","2018-M10","2018 October","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",106.05,,
"IX","Index","2018-M10","2018 October","ISCO88_5_B","Vendedores, promotores y modelos",117.09,,
"IX","Index","2018-M10","2018 October","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",114.29,,
"IX","Index","2018-M10","2018 October","ISCO88_8","Operadores de instalaciones y máquinas y montadores",110.3,,
"IX","Index","2018-M10","2018 October","ISCO88_9","Trabajadores no calificados",114.33,,
"IX","Index","2018-M11","2018 November","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",116.14,,
"IX","Index","2018-M11","2018 November","ISCO88_2","Profesionales científicos e intelectuales",109.54,,
"IX","Index","2018-M11","2018 November","ISCO88_3","Técnicos y profesionales de nivel medio",110.66,,
"IX","Index","2018-M11","2018 November","ISCO88_4","Empleados de oficina",112.7,,
"IX","Index","2018-M11","2018 November","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",105.8,,
"IX","Index","2018-M11","2018 November","ISCO88_5_B","Vendedores, promotores y modelos",117.73,,
"IX","Index","2018-M11","2018 November","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",115.53,,
"IX","Index","2018-M11","2018 November","ISCO88_8","Operadores de instalaciones y máquinas y montadores",111.5,,
"IX","Index","2018-M11","2018 November","ISCO88_9","Trabajadores no calificados",114.67,,
"IX","Index","2018-M12","2018 December","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",116.75,,
"IX","Index","2018-M12","2018 December","ISCO88_2","Profesionales científicos e intelectuales",110.24,,
"IX","Index","2018-M12","2018 December","ISCO88_3","Técnicos y profesionales de nivel medio",111,,
"IX","Index","2018-M12","2018 December","ISCO88_4","Empleados de oficina",113.4,,
"IX","Index","2018-M12","2018 December","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",107.49,,
"IX","Index","2018-M12","2018 December","ISCO88_5_B","Vendedores, promotores y modelos",118.23,,
"IX","Index","2018-M12","2018 December","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",115.9,,
"IX","Index","2018-M12","2018 December","ISCO88_8","Operadores de instalaciones y máquinas y montadores",110.86,,
"IX","Index","2018-M12","2018 December","ISCO88_9","Trabajadores no calificados",115.66,,
"IX","Index","2019-M01","2019 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",118.26,,
"IX","Index","2019-M01","2019 January","ISCO88_2","Profesionales científicos e intelectuales",111.16,,
"IX","Index","2019-M01","2019 January","ISCO88_3","Técnicos y profesionales de nivel medio",111.86,,
"IX","Index","2019-M01","2019 January","ISCO88_4","Empleados de oficina",114.39,,
"IX","Index","2019-M01","2019 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",107.35,,
"IX","Index","2019-M01","2019 January","ISCO88_5_B","Vendedores, promotores y modelos",120.39,,
"IX","Index","2019-M01","2019 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",115.71,,
"IX","Index","2019-M01","2019 January","ISCO88_8","Operadores de instalaciones y máquinas y montadores",112.22,,
"IX","Index","2019-M01","2019 January","ISCO88_9","Trabajadores no calificados",115.59,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",7.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_2","Profesionales científicos e intelectuales",3.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_3","Técnicos y profesionales de nivel medio",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_4","Empleados de oficina",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_5_A","Trabajadores de servicios personales, protección y seguridad",6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_5_B","Vendedores, promotores y modelos",8.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January","ISCO88_7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",5.8,,
